Index,left,Localizers,"zai 'at, in'",right,verb,Verb class,Newness_Theme,Newness_Location,definiteiniteness_Theme,Heaviness,Heaviness_differences,Animacy_Theme,Animacy_Location,Animacy_Location_minorClass,Animacy_Theme_minorClass,Construction_trichotomy,Construction,备注: 住(驻扎，驻)有关的词都从posture变成existence
706,"<s> txt 文章 标题 : 作者 : 】 30 22 : ... 远 了 , 但 荣誉室 的 墙板 上 用 文 、 图 清晰 地 记录 着 历次 不凡 的 战斗 , 那 [ [ [",里,存放,"着 ] ] ] 100多 面 锦旗 和 奖状 , 有的 锦旗 褪 了 色 、 掉 了 绒 , 那 是 战争 年代 先辈 ... 【 文件名 : \ 当代 \ 报刊 \ 人民 日报 \ 1993年 人民 日报 \ 5月份 . </s>",存放,verbs of placement,new,given,indefinite,Location<Theme,-6,inanimate,inanimate,place,concrete,Locative inversion,Locative inversion,
169,"效应 即 为首 因 效应 。 【 文件名 : \ 当代 \ CWAC \ APE0084. txt 文章 标题 : 作者 : 】 4539 : 近 因 效应 : 与 首 因 效应 相反 , 是 指 交往 中 最后 一 次 见面 给 人 留下 的 印象 , 这个 印象 [",,在," ] 对方 的 脑海 中 也 会 存留 很 长 时间 。 [ 在 ] 学习 和 人际 交往 中 , 这 两 种 现象 很 常见 。 【 文件名 : \ 当代 \ CWAC \ APE0084. txt 文章 标题 : 作者 : 】 4540 : 首先 让 她们 [ 在",存留,verbs of existence,given,new,definite,Location>Theme,3,inanimate,animate,body-part,nonconcrete,uninversted sentence (PreLocPs),uninverted sentence,
728,<s> txt 文章 标题 : 作者 : 】 20124 : 他 眼前 的 电脑 [ [ [,里,存入,"了 ] ] ] 全 国 近 千 名 模特 的 业务 档案 , 而 脾气 、 禀性 、 感受 能力 , 这些 电脑 里 存 ... 【 文件名 : \ 当代 \ 报刊 \ 人民 日报 \ 1993年 人民 日报 \ 2月份 . </s>",存入,verbs of holding or containing,new,given,indefinite,Location<Theme,-5,inanimate,inanimate,concrete,concrete,Locative inversion,Locative inversion,
158,"过程 的 始终 , 矛盾 即 是 运动 , 即 是 事物 , 即是 过程 , 也 即 是 思想 。 </s><s> 否认 事物 的 矛盾 就 是 否认 了 一切 。 </s><s> 这 是 共通 的 道理 , 古今 中外 , 概莫能外 。 </s><s> 所以 它 是 共性 , 是 绝对性 。 </s><s> "" 但是 , 任何 一 种 物质 的 运动 形式 又 是 具有 着 自己 的 个性 即 特殊性 , "" 每 一 物质 的 运动 形式 所 具有 的 特殊 的 本质 , 为 它 自己 的 特殊 的 矛盾 所 规定 。 </s><s> 这 种 情形 , 不但 [",,在,"] 自然界 中 存 [ 在 ] 着 , [ 在 ] 社会 现象 和 思想 现象 中 也 是 同样 地 存 [ 在 ] 着 , 每 一 种 社会 形式 和 思想 形式 , 都 有 它 的 特殊 的 矛盾 和 特殊 的 本质 "" , 而 共性 与 个性 的 关系 则 是 共性 "" 包含 于 一切 个性 之中 , 无 个性 即 无 共性 。 </s><s> 假如 除去 一切 个性 , 还 有 什么 共性 呢 ? </s><s> "" 毛泽东 还 进一步 地 指出 : "" 这 一 共性 个性 、 ... 【 文件名 :",存在,verbs of existence,given,new,definite,Location=Theme,1,inanimate,inanimate,place,nonconcrete,uninversted sentence (PreLocPs),uninverted sentence,
221,"其 教育 与 人文主义 及 其 教育 既然 有 对立 , 也 就 必然 有 融合 , 从 另 一 个 角度 或 层面 上 看 , 科学主义 及 其 教育 与 人文主义 及 其 教育 [ 在 ] 20世纪 也 不断 呈现 出 相互 接近 乃至 相互 融合 的 趋势 , 并 逐渐 形成 了 科学 人文主义 的 哲学 社会观 和 教育观 。 </s><s> 其实 , 严格 说来 , 20世纪 既 没有 纯粹 、 绝对 的 科学主义 教育 目的观 , 也 没有 纯粹 、 绝对 的 人文主义 教育 目的 观 。 </s><s> 道理 很 简单 , 它们 都 不 可能 [",,在,"] 现实 教育 中 存 [ 在 ] 。 </s><s> 我们 尽管 [ 在 ] 根本 上 把 实用主义 教育 划归 为 科学主义 教育 范畴 , 但 它 也 融入 了 不少 人文 色彩 , 以致 一些 学者 还 把 它 归入 人本主义 范畴 。 </s><s> 存 [ 在 ] 主义 教育 是 典型 的 人文主义 教育 , 但 它 并不 反对 科学 与 技术 的 学习 , 只不过 认为 , 这 类 "" 专门化 的 学科 必须 跟 人文 学科 同时 学习 , 而 专门 必须 尽可能 多 的 人性化 。 </s><s> 人 必须 是 他 的 专业 的 主人 。 </s><s> """,存在,verbs of existence,given,given,definite,Location>Theme,4,inanimate,inanimate,nonconcrete,nonconcrete,uninversted sentence (PreLocPs),uninverted sentence,
224,"记者:我们在《清华社会学评论》创刊号上看到您和同事、学生所做的关于当代国家与农民关系的研究。可以看出，你们在使用一些新的方法,得出的结论也很独特。但为什么要把这些研究的特点归结为实践的问题。孙立平:其实,实践的问题’也是在实践中提出来的。。 前些年 我们 [ 在 ] 农村 进行 考察 的 时候 , 发现 一 个 令 人 困惑 的 问题 。 这个 问题 就 是 , 目前 国家 是 以 一 种 什么样 的 状态 [",,在, ] 农村 中 存 [ 在 ] 着 ? 或者说 还 [ 在 ] 多 大 的 程度 上 [ 在 ] 农村 社会 生活 中 起 作用 ? 【 文件名 : \ 当代 \ CWAC \ ASJ 0107 . txt 文章 标题 : 作者 : 】 6955 : 当 我们,存在,verbs of existence,given,given,definite,Location>Theme,2,animate,inanimate,place,organization,uninversted sentence (PreLocPs),uninverted sentence,
345,"<s> 在法国政府中占据显要地位的经济和财政部长阿兰·马德兰二十五日下午突然向总理府提出辞呈，使仅仅组阁三个月的朱佩政府遭受重大冲击。舆论 则 认为 , 马德兰 的 辞职 反映 了 现任 政府 内在 经济 改革 问题 [ [ [",上,存在,着 ] ] ] 分歧 。 </s>,存在,verbs of existence,new,new,indefinite,Location>Theme,11,inanimate,inanimate,nonconcrete,nonconcrete,Locative inversion,Locative inversion,
346,"<s> 第四 , 西方 文献 特别 谈到 潜在 生产 能力 和 实际 生产 能力 之 [ [ [",间,存在,"着 ] ] ] 缺口 , 主要 基于 资源 局部 闲置 ( 首先 是 人力 ) 的 事实 。 </s>",存在,verbs of existence,new,new,indefinite,Location>Theme,13,inanimate,inanimate,nonconcrete,nonconcrete,Locative inversion,Locative inversion,
347,"<s> txt 文章 标题 : 作者 : 】 1944 : ... 由于 历史 原因 , 已 使 我国 工农 间 、 城乡 间 、 地区 间 尤其是 沿海 和 内地 [ [ [",间,存在,着 ] ] ] 很 大 差异 。 </s>,存在,verbs of existence,new,new,indefinite,Location>Theme,14,inanimate,inanimate,nonconcrete,nonconcrete,Locative inversion,Locative inversion,
349,"从西方国家引进中国的“civilsociety”,其理论层面的研究经历了两个阶段。关于“civilsociety”的话语在中国引起关注是在上个世纪90年代初,那时研究者更多将“civilsociety”译为西方视野里的“市民社会”,在应用这一理论时,他们更侧重于去修正和扩展洛克式传统中“社会先于国家0的市民社会观,同时在“国家与社会”二元分析框架的基础上,强调国家与市民社会两者间的良性互动（邓正来，1998277-278)。这一阶段关于市民社会的研究,主要是针对国内改革所面临的一些问题以及知识界对这些问题的回应而展开的。从某种角度看，1978年开始的经济体制改革是一个社会重构的过程,而在1980年代的各种改革策略和解释模式中,还没有明确地提出社会建设的概念（许纪霖，1998305)。知识界当时关于改革的思考主要体现在新权威主义和民主先导论的争论中。尽管 这 两 种 理论 [",,在," ] 选择 中国 现代化 道路 的 问题 上 存 [ 在 ] 较 大 差异 , 但 二 者 都 "" 将 问题 化约 为 政治 - 经济 关系 的 问题 0 和 "" 自上而下 的 思维 方式 0 ( 邓正来 , 1998269 ) 。 因此 [ 在 ] 1980年代 ,",存在,verbs of existence,new,new,indefinite,Location>Theme,10,inanimate,inanimate,nonconcrete,nonconcrete,uninversted sentence (PreLocPs),uninverted sentence,
420,"<s> txt 文章 标题 : 作者 : 】 5299 : 美国 费米 国立 加速器 实验室 对撞机 探测器 实验组 的 科学家 发现 , 夸克 之 [ [ [",间,存在,"着 ] ] ] 剧烈 的 碰撞 , 这 表明 夸克 可能 并 非 宇宙 最 基本 粒子 。 </s>",存在,verbs of existence,new,new,indefinite,Location=Theme,-1,inanimate,inanimate,nonconcrete,nonconcrete,Locative inversion,Locative inversion,
421,"<s> txt 文章 标题 : 作者 : 】 4566 : 当前 , 社会 [ [ [",上,存在,着 ] ] ] 一 种 偏见 : 有些 人 对 举报人 歧视 、 排斥 、 冷嘲热讽 ; 有些 人 甚至 对 举报 ... 【 文件名 : \ 当代 \ 报刊 \ 人民 日报 \ 1995年 人民 日报 \ 5月份 . </s>,存在,verbs of existence,new,new,indefinite,Location=Theme,-1,inanimate,inanimate,place,nonconcrete,Locative inversion,Locative inversion,
519,"<s> 公共政策创新中的政策供给是建构性的,因此,它必须通过各种渠道获得合法性要素的支持方能得卷以实施,否则,也可能因合法性要素的支持短缺而蔫死在襁褓之中。可见,合法性要素是政策供给的给养,第只有给养充分,政策创新才能顺利进行。历史 [ [ [",上,存在,"着 ] ] ] 大量 的 公共 政策 创新 失败 的 案例 , 其 重要 原因 在于 一 期 缺乏 一 系列 必要 ... 【 文件名 : \ 当代 \ CWAC \ CPJ 0233 . </s>",存在,verbs of existence,new,new,indefinite,Location<Theme,-11,inanimate,inanimate,nonconcrete,nonconcrete,Locative inversion,Locative inversion,
524,"<s> txt 文章 标题 : 作者 : 】 17667 : ... 不同 的 医生 所 开出 的 处方 很 可能 是 不 一样 的 , 不同 医生 的 治疗 方案 之 [ [ [",间,存在,"着 ] ] ] 较 大 的 个体 差异 , 有 的 意见 甚至 可能 截然相反 。 </s>",存在,verbs of existence,new,given,indefinite,Location>Theme,4,inanimate,inanimate,nonconcrete,nonconcrete,Locative inversion,Locative inversion,
560,<s> 然而，《资本论》本身的伟大结构和近二百万字的巨量篇幅(如计算第四卷进去是近三百万字)，不能不承认，即令今天，对我们一般同志说来，仍是个重负。这也说明了，为什么在有了再二、再三次的中文全译本后，尤其是在革命取得了全国性胜利，和平环境，人民文化水平的提高也已大非昔比之后，阅读《资本论》的情况仍是很不理想。这 [ [ [,里,存在,"着 ] ] ] 不 是 不 重视 读 , 而 是 难于 具备 读完 它 的 条件 的 问题 。 </s>",存在,verbs of existence,new,given,definite,Location<Theme,-19,inanimate,inanimate,nonconcrete,nonconcrete,Locative inversion,Locative inversion,
603,"<s> txt 文章 标题 : 作者 : 】 2682 : 阿莫林 外长 说 , 巴西 和 中国 之 [ [ [",间,存在,"着 ] ] ] "" 非常 好 "" 的 政治 关系 。 </s>",存在,verbs of existence,new,given,indefinite,Location=Theme,-1,inanimate,inanimate,nonconcrete,nonconcrete,Locative inversion,Locative inversion,
757,"<s> txt 文章 标题 : 作者 : 】 1134 : 然而 他们 只要 稍 作 考察 , 就 会 注意 到 , 汉语 [ [ [ 中 存在 着 ] ] ] 大量 的 无标 ( unmarked ) 句 , 如 : "" 老王 送 我 一 本 书 / 他 写好 ... 【 文件名 : \ 当代 \ 应用文 \ 议论文 \ 语言学 论文 \ 067.txt 文章 标题 : 作者 : 】 1135 : ... 观 标准 , 还 得 根据 客观 的 语言 事实 作 客观 的 判断 才 行 , 否则 即使 客观 [ [ [",上,存在,"着 ] ] ] 某 种 时制 形态 , 仍 可以 从 主观 上 加以 否定 , 或是 硬说 它 不 是 形态 , 或是 ... 【 文件名 : \ 当代 \ 应用文 \ 议论文 \ 语言学 论文 \ 067.txt 文章 标题 : 作者 : 】 1136 : 现在 时 可 用 无 标式 , 如 : "" 路 [ [ [ 上 行驶 着 ] ] ] 无数 车辆 "" ; 将来 时 和 过去 时 则 是 有 标式 , 如 : "" 这 条 路 上 将 行驶 着 无 ... 【 文件名 : \ 当代 \",存在,verbs of existence,new,given,indefinite,Location<Theme,-3,inanimate,inanimate,nonconcrete,nonconcrete,Locative inversion,Locative inversion,
758,"<s> txt 文章 标题 : 作者 : 】 56 23 : ... , 中国 是 世界 上 最 大 的 发展 中 国家 , 美国 是 最 大 的 发达 国家 , 中 美 之 [ [ [",间,存在,"着 ] ] ] 很 大 的 合作 可能性 和 合作 潜力 , 这 种 潜力 若 能 得到 充分 发挥 , 将 有利于 ... 【 文件名 : \ 当代 \ 报刊 \ 人民 日报 \ 1996年 人民 日报 \ 6月份 . </s>",存在,verbs of existence,new,given,indefinite,Location<Theme,-9,inanimate,inanimate,nonconcrete,nonconcrete,Locative inversion,Locative inversion,
759,"<s> 中国 是 世界 上 最 大 的 发展 中 国家 , 英国 是 重要 的 发达 国家 , 两 国 [ [ [",间,存在,着 ] ] ] 发展 合作 关系 的 现实 基础 。 </s>,存在,verbs of existence,new,given,indefinite,Location<Theme,-8,inanimate,inanimate,nonconcrete,nonconcrete,Locative inversion,Locative inversion,
760,"<s> 关于法英关系,希拉克表示,两国关系源远流长,虽然法英关系发展过程中会产生各种分歧,但两国关系的基础巩固。他说:“虽然在历史上,在近期,我们在一些问题上有不同的看法,但很明显这仅仅是表面现象。现实 是 , 法英 之 [ [ [",间,存在,着 ] ] ] 一 种 深深 的 、 友好 的 相互 理解 。 </s>,存在,verbs of existence,new,given,indefinite,Location<Theme,-8,inanimate,inanimate,nonconcrete,nonconcrete,Locative inversion,Locative inversion,
761,"<s> txt 文章 标题 : 作者 : 】 32 20 : 西提 表示 , 泰王室 和 人民 都 非常 重视 同 中国 的 友好 关系 , 两 国 之 [ [ [",间,存在,"着 ] ] ] 真诚 的 理解 与 合作 , 两 国 高层 领导人 的 互访 使 中 泰 关系 已 进入 了 一 个 新 ... 【 文件名 : \ 当代 \ 报刊 \ 人民 日报 \ 1993年 人民 日报 \ 9月份 . </s>",存在,verbs of existence,new,given,indefinite,Location<Theme,-4,inanimate,inanimate,nonconcrete,nonconcrete,Locative inversion,Locative inversion,
763,<s> 可 当时 记者 并 没 意识 到 这 [ [ [,里,存在,着 ] ] ] 一 个 大 误会 。 </s>,存在,verbs of existence,new,given,indefinite,Location<Theme,-3,inanimate,inanimate,nonconcrete,nonconcrete,Locative inversion,Locative inversion,
765,"<s> txt 文章 标题 : 作者 : 】 12983 : ...尼奥斯 大使 抵达 墨西哥城 机场 时 对 新闻界 说 , 他 一直 相信 古 墨 两 国 之 [ [ [",间,存在,"着 ] ] ] 历史 和 传统 的 关系 , 并 表示 将 继续 为 解决 两 国 之间 悬而未决 的 问题 工作 ... 【 文件名 : \ 当代 \ 报刊 \ 新华社 \ 新华社 2004年 7月份 新闻 报道 . </s>",存在,verbs of existence,new,given,indefinite,Location<Theme,-2,inanimate,inanimate,nonconcrete,nonconcrete,Locative inversion,Locative inversion,
359,"<s> txt 文章 标题 : 作者 : 】 44300 : 我正想着法利埃先生的先例，联系到外祖母的病情，感到信心百倍，忽然，E教授在结束一句笑话时发出的爽朗的笑声把我从沉思中惊醒，这使我更确信外祖母很快就会恢复健康。笑罢，E教授掏出怀表看了看，耽搁了五分钟，于是焦躁地皱皱眉，一边同我们道再见一边摇铃，叫仆人快给他拿晚礼服。我让外祖母先走一步，回来又关上门，向教授询问真情。""您外祖母没救了，""他对我说，""刚才的发作是尿毒症引起的。尿毒症倒不一定致命，但她的病我认为没有希望了。但愿我诊断错了。再说，戈达尔大夫医术高明，他 会 悉心 治疗 的 , 对不起 , "" 他 看见 女仆 手臂 [[[",上,搭,"着 ] ] ] 他 的 晚礼服 走 进来 , 便 对 我 说 , "" 您 知道 , 我 要 到 贸易 部长 家 去 吃 晚饭 ... 【 文件名 : \ 当代 \ 翻译 作品 \ 文学 \ 追忆 似 水 年华 . </s>",搭,verbs of hanging,given,given,definite,Location=Theme,,inanimate,animate,body-part,concrete,Locative inversion,Locative inversion,
566,"<s> txt 文章 标题 : 作者 : 】 173 10 : 小街 的 故事 多 , 小街 中间 更 有 情节 , 这 [ [ [",里,搭,"了 ] ] ] 一 顶 洁白 的 帐篷 , 主人 是 位 南方 姑娘 , 白帽 白 褂白 围裙 , 卖 的 是 当地 传 ... 【 文件名 : \ 当代 \ 报刊 \ 人民 日报 \ 1994年 人民 日报 \ 第3 季度 . </s>",搭,verbs of creation,new,given,indefinite,Location<Theme,-5,inanimate,inanimate,place,concrete,Locative inversion,Locative inversion,
856,"<s> 有些 衣服 褴褛 的 人 腋下 夹 着 皮靴 , 肩 [ [ [",上,搭,"着 ] ] ] 熨 得 笔挺 的 长裤 和 背心 , 在 市场 上 走来走去 。 </s>",搭,verbs of hanging,new,given,indefinite,Location<Theme,-8,inanimate,animate,body-part,concrete,Locative inversion,Locative inversion,
96,"研究 的 广泛 开展 , 增强 了 各 国 之间 的 相互 交流 、 取长补短 进行 研究 的 需要 , 促使 有关 继续 教育 的 国际 会议 、 合作 研究 、 资料 交流 空前 的 活跃 。 </s><s> 另 一 个 是 马克思主义 理论 [ 在 ] 西方 继续 教育 领域 的 复兴 , 一些 西方 学者 开始 运用 或 借鉴 马克思主义 观点 来 控制 和 影响 继续 教育 过程 , 为 继续 教育 研究 注入 了 新 的 活力 。 </s><s> 【 文件名 : \ 当代 \ CWAC\AEE0006.txt 文章 标题 : 作者 : 】 402 : 第二 , 受 教育者 [",,在,"] 学历 上 和 专业 技术 上 已 达到 了 一定 的 层次 和 水平 ; 【 文件名 : \ 当代 \ CWAC\AEE0006.txt 文章 标题 : 作者 : 】 403 : ... 要 有 较 强 的 职业 应变 能力 和 更 高 的 智能 结构 。 </s><s> 而 一次性 的 学校 教育 远远 不 能 满足 这 种 需要 , 终身 教育 和 终身 学习 被 提到 议事 日程 上来 , 变成 从业 人员 工作 的 一 个 有机 组成 部分 , 继续 教育 作为 学校 教育 向 终身 教育 转变 的 重要 阶段 , [ 在 ] 社会 的",达到,verbs of activity,new,new,indefinite,Location>Theme,2,inanimate,inanimate,nonconcrete,nonconcrete,uninversted sentence (PreLocPs),uninverted sentence,
311,<s> txt 文章 标题 : 作者 : 】 4458 : 席间，毛主席脱去了外衣。白衬衫 袖口 和 领子 [[[,上,打,着 ] ] ] 补钉 。 </s>,打,verbs of attachment,new,new,indefinite,Location>Theme,7,inanimate,inanimate,concrete,concrete,Locative inversion,Locative inversion,
540,"<s> 当 段 荣 才 赶回 家 时 , 头 [ [ [",上,打,"着 ] ] ] 绷带 的 妻子 不禁 失声 哭 着 求 他 : "" 你 再 也 不 要 去 当 那个 局长 了 , 回来 吧 ... 【 文件名 : \ 当代 \ 报刊 \ 新华社 \ 新华社 2001年 4月份 新闻 报道 . </s>",打,verbs of attachment,new,new,indefinite,Location=Theme,,inanimate,animate,body-part,concrete,Locative inversion,Locative inversion,
785,"<s> txt 文章 标题 : 作者 : 】 41247 : 巡丁甲 他们 同伙 的 还有 一 个 坏 贼 , 我 认识 他 , 他 头发 [ [ [",上,打,"着 ] ] ] "" 爱人 结 "" 。 </s>",打,verbs of attachment,new,given,indefinite,Location=Theme,1,inanimate,animate,body-part,concrete,Locative inversion,Locative inversion,
837,"<s> txt 文章 标题 : 作者 : 】 44904 : ... 亚特兰大 战役 那 一 天 , 思嘉 和 其他 许多 太太们 坐在 店铺 的 屋顶 上 , 手 [ [ [",里,打,"着 ] ] ] 小小 阳伞 , 观看 战斗 进行 的 情景 , 但是 当 炮弹 开始 在 大街 上 落地 开花 时 ... 【 文件名 : \ 当代 \ 翻译 作品 \ 文学 \ 飘 . </s>",打,verbs of holding or containing,new,given,indefinite,Location<Theme,-2,inanimate,animate,body-part,concrete,Locative inversion,Locative inversion,
50,"哲学 看成 真理 的 化身 , 就 一定 会 走上 黑格尔 哲学 的 这 条 路 。 </s><s> 【 文件名 : \ 当代 \ CWAC \ APM0061.txt 文章 标题 : 作者 : 】 5533 : ... 发展 到 黑格尔 就 到 了 一 个 顶峰 。 </s><s> 到 了 一 个 顶峰 之后 就 分化 成 了 五花八门 的 现代 西方 哲学 。 </s><s> 其中 大概 说来 有 欧洲 大陆 哲学 与 英美 哲学 的 区别 。 </s><s> 有 人 曾经 这么 形容 道 , 欧洲 大陆 的 哲学家 像 刺猬 , 英 美 哲学家 像 狐狸 。 </s><s> 什么 意思 呢 ? </s><s> 刺猬 [",,在,"] 地上 打 一 个 滚 , 地上 什么 果子 都 能 沾到 身上 , 欧洲 大陆 哲学家们 就是 这个 样子 , 搞 个 庞杂 的 体系 , 无所不包 ; 英美 的 哲学家 主要 是 分析 哲学家 , 像 狐狸 一样 , 找 个 小 窍门 , 找 个 小鸟巢 , 钻 进去 。 </s><s> 这 都 是 一 种 说法 而已 。 </s><s> 【 文件名 : \ 当代 \ CWAC \ APM0061.txt 文章 标题 : 作者 : 】 5534 : ... 题 : 一 、 我 能够 知道 什么 ; 二 、 我 应该 做 什么 ; 三 、 我 能",打(滚),verbs of activity,given,new,indefinite,Location=Theme,,animate,inanimate,place,animal,uninversted sentence (PreLocPs),uninverted sentence,
387,", 云南 哈尼族人 、 独龙族人 , 台湾 高山族人 也 有用 结绳 记事 的 实例 可 考 。 例如 : 云南 独龙族人 远行 , 常 借 结绳 以 记日 , 每 行 一 日 打 一 结 ; 朋友 约定 相会 或 宴请 之 日期 , 亦 按 其 日数 先 [",,在," ] 一 绳上 打 若干 个 结 , 每 过 一 日 解开 一 结 , 结解 尽 便 知 约会 之 期 已 到 。 哈尼族人 买卖 土地 有用 结绳 为 契约者 , 即 用 同样 长短 的 麻绳 两 根 , 田价 若干 元 , 绳上 就 打 若",打结,verbs of attachment,given,given,indefinite,Location=Theme,,inanimate,inanimate,concrete,concrete,uninversted sentence (PreLocPs),uninverted sentence,
541,"0100 . </s><s> txt 文章 标题 : 作者 : 】 6652 : [ 在 ] 定型 生活 中 长大 的 有着 深入 生理 基础 的 习惯 帮 着 我们 "" 日出 而 起 , 日入而息 "" 的 工作 节奏 。 </s><s> 记忆 都 是 多余 的 。 </s><s> "" 不 知 老 之 将 至 "" 就 是 描写 "" 忘 时 "" 的 生活 。 </s><s> 秦亡 汉兴 , 没有 关系 。 </s><s> 乡土 社会 中 不 怕 忘 , 而且 忘 得 舒服 。 </s><s> 只有 [ 在 ] 轶 出于 生活 常轨 的 事 , 当 我 怕 忘记 时 , 方 [",,在,"] 指头 上 打 一 个 结 。 </s><s> 指头 上 的 结 是 文字 的 原始 方式 , 目的 就 是 用 外 [ 在 ] 的 象征 , 利用 联想 作用 , 帮助 人 的 记忆 。 </s><s> [ 在 ] 一 个 常常 变动 的 环境 中 , 我们 感觉 到 自己 记忆力 不 够 时 , 方 需要 这些 外 [ 在 ] 的 象征 。 </s><s> 从 语言 变 到 文字 , 也 就 是 从 用 声音",打结,verbs of attachment,new,new,indefinite,Location=Theme,1,inanimate,animate,body-part,concrete,uninversted sentence (PreLocPs),uninverted sentence,
369,"<s> txt 文章 标题 : 作者 : 】 43661 : "" 手续 嘛 , 请 您 不 要 担心 , "" 波尔菲 里 脸 [ [ [",上,带,"着 ]]] 先前 那 种 狡猾 的 微笑 打断 了 他 的话 , 甚至 好像 津津 有味 地 在 欣赏拉斯科 ... 【 文件名 : \ 当代 \ 翻译 作品 \ 文学 \ 罪与 罚 . </s>",带,verbs of (dis)appearance,given,given,definite,Location<Theme,-3,inanimate,animate,body-part,nonconcrete,Locative inversion,Locative inversion,
459,"<s> 李大奶奶是男人打扮，老太太挺客气：“哟，这位先生，住店吗？”“啊，请问您这是什么字号？”“我们这儿是范家店。”“噢，有吃的吗？”“对不起，我们这儿光住店，不卖吃的。”李大奶奶看了看说：“老妈妈，你这店靠车站，好天气，南来北往的准有不少人，如果开店再卖些吃喝，这店准红火。”“嗐，我都上埋半截啦，有今天没明天，哪有精神操办那些呀。”李大奶奶一想，我那口子不知流落何方，我回了北京也没什么意思，这长辛店离北京也不算远，干脆，我就先在这范家店落下脚，然后慢慢再想章程。想到这儿，对老太太说：“老人家，我也是孤身一人，想认您为干妈，帮助您把这小店好好归置归置，除了开店再添上卖些个吃喝，不知您老意下如何？”“那敢情好，只是我好多天没有客人啦，添些吃喝，缺少本钱哪。”“那您放心，我这儿有钱。"" 李大奶奶包 [ [ [",里,带,着 ] ] ] 那 二百 块 钱 哪 。 </s>,带,verbs of holding or containing,new,given,definite,Location=Theme,1,inanimate,inanimate,concrete,concrete,Locative inversion,Locative inversion,
678,"<s> 他 睡 了 , 嘴角 [ [ [",上,带,着 ] ] ] 微笑 。 </s>,带,verbs of (dis)appearance,new,given,indefinite,Location=Theme,1,inanimate,animate,body-part,nonconcrete,Locative inversion,Locative inversion,
797,"<s> 【 文件名 : \ 现代 \ 戏剧 \ 老舍 戏剧 1.TXT 文章 标题 : 西望 长安 作者 : 】 46530 : 唐 石青 第四 , 他 身 [ [ [",上,带,着 ] ] ] 军用 电报 。 </s>,带,verbs of holding or containing,new,given,indefinite,Location=Theme,-1,inanimate,animate,body-part,concrete,Locative inversion,Locative inversion,
800,<s> 我们在沉窒的黑暗中遇到了一辆牛车，上面装着几袋面粉，正朝城墙的方向驶去。我们给了车夫两枚银币，请他载我们一程。黑身 [ [ [,上,带,"着 ] ] ] 图画 , 他 小心 地 坐 了 下来 。 </s>",带,verbs of holding or containing,new,given,indefinite,Location=Theme,1,inanimate,animate,body-part,concrete,Locative inversion,Locative inversion,
810,"<s> 山东省巨野县委党史委征集科的陈占玉同志,是被人称为对党史工作“着魔”的人。在他从事这项工作的12年间,为了征集考证党史资料,无论酷暑寒冬、刮风下雨,他总是骑着一辆破旧自行车四处奔波,跑遍了全县乡村和城里的大街小巷。饿 了 , 身 [ [ [",上,带,"着 ] ] ] 干粮 ; 困 了 , 找 最 便宜 的 小 旅店 搭 个 地铺 住 一 宿 。 </s>",带,verbs of holding or containing,new,given,indefinite,Location=Theme,,inanimate,animate,body-part,concrete,Locative inversion,Locative inversion,
812,"<s> TXT 文章 标题 : 作者 : 】 13 18 : 斗牛士 拿 一 块 红色 罩布 , 身 [ [ [",上,带,着 ] ] ] 利剑 。 </s>,带,verbs of holding or containing,new,given,indefinite,Location=Theme,,inanimate,animate,body-part,concrete,Locative inversion,Locative inversion,
826,"<s> txt 文章 标题 : 作者 : 】 21660 : 耿荻 还 是 那样 , 脸 [ [ [",上,带,"着 ] ] ] 淡淡 的 轻蔑 , 看 这 群文人 之后 开荤 。 </s>",带,verbs of (dis)appearance,new,given,indefinite,Location<Theme,-3,inanimate,animate,body-part,nonconcrete,Locative inversion,Locative inversion,
828,<s> 他 脸 [ [ [,上,带,"着 ]]] 愤怒 的 表情 又 说 , 很 明显 , 他 不 愿 继续 这个 使 他 激动 的 话题 , 他 说 : "" ... 【 文件名 : \ 当代 \ 翻译 作品 \ 文学 \ 战争 与 和平 . </s>",带,verbs of (dis)appearance,new,given,indefinite,Location<Theme,-2,inanimate,animate,body-part,nonconcrete,Locative inversion,Locative inversion,
829,"<s> txt 文章 标题 : 作者 : 】 18459 : “听上去像《天方夜谭》似的，”怀特太太说，一面站起来开始摆饭餐，“你想你也许可以祝愿我长四双手吗？”她 丈夫 从 口袋 里 拿出 那个 护符 , 军士长 脸 [ [ [",上,带,"着 ] ] ] 一 种 警告 的 神色 , 抓住 怀特 先生 的 胳膊 , 全 家 三 人 不禁 放声 大笑 。 </s>",带,verbs of (dis)appearance,new,given,indefinite,Location<Theme,-2,inanimate,animate,body-part,nonconcrete,Locative inversion,Locative inversion,
854,"<s> txt 文章 标题 : 作者 : 】 15573 : ... 人 很 多 , 成年 女性 都 穿 着 宽大 的 、 下摆 几乎 触及 地面 的 黑色 长袍 , 头 [ [ [",上,带,"着 ] ] ] 黑色 盖头 , 但是 很 少 有 带 面纱 的 。 </s>",带,verbs of attachment,new,given,indefinite,Location<Theme,-2,inanimate,animate,body-part,concrete,Locative inversion,Locative inversion,
